"Coalizione","Dove","Partito","Circoscrizione","Collegio Uninominale","Città principale","Candidato"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U03","Milano: NIL 21 - Buenos Aires -
Venezia","Ivan Scalfarotto"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U04","Sesto San Giovanni","Tiziana Demma"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U05","Cologno Monzese","Marco Malinverni"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U06","Monza","Fabio Albanese"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U07","Bergamo","Andrea Moltrasio"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U08","Brescia","Riccardo Canini"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U09","Treviglio","Maria Stella Gelmini"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U10","Pavia","Francesca Zanchi"
"Azione-IV","Senato","Azione-IV","Lombardia","Lombardia - U11","Cremona","Francesca Zaltieri"
"Azione-IV","Senato","Azione-IV","Marche","Marche - U01","Ascoli Piceno","Fabio Urbinati"
"Azione-IV","Senato","Azione-IV","Marche","Marche - U02","Ancona","Elena Fabbri"
"Azione-IV","Senato","Azione-IV","Molise","Molise - U01","Campobasso","Carla Gianmaria"
